date,ph,avspeedtot,avspeed15,motile,indiv
08.03.2011,7.8,24.4679836,38.81874673,0.55,16
08.03.2011,7.8,23.59735553,37.14609707,0.54,16
08.03.2011,7.8,23.22091693,38.40484572,0.51,16
09.03.2011,7.8,31.32901554,42.37385525,0.69,17
09.03.2011,7.8,22.47526442,37.90305914,0.5,17
09.03.2011,7.8,25.73651636,37.94647165,0.6,17
09.03.2011,7.8,30.48194713,41.96850921,0.66,17
09.03.2011,7.8,26.50078334,41.9580822,0.57,17
09.03.2011,7.8,24.24584198,38.74221509,0.55,17
09.03.2011,7.8,33.08863824,43.69241139,0.71,17
09.03.2011,7.8,26.60345941,43.04744394,0.55,17
09.03.2011,7.8,25.87016576,43.43404301,0.53,17
09.03.2011,7.8,30.20650438,42.11240589,0.65,17
15.03.2011,7.8,23.32094021,32.03779532,0.66,18
15.03.2011,7.8,30.05719844,36.57064692,0.78,18
15.03.2011,7.8,24.61892684,34.10344675,0.77,18
15.03.2011,7.8,13.88722926,24.12797522,0.42,18
15.03.2011,7.8,27.58795243,36.74620858,0.69,18
15.03.2011,7.8,27.41460339,34.50020719,0.73,18
15.03.2011,7.8,30.41605828,37.93342407,0.75,18
15.03.2011,7.8,28.07312446,35.64545525,0.73,18
15.03.2011,7.8,27.23732678,35.7469532,0.68,18
15.03.2011,7.8,25.31605668,34.03164264,0.66,18
16.03.2011,7.8,29.99182976,44.31766144,0.61,19
16.03.2011,7.8,27.57865808,39.68901473,0.63,19
16.03.2011,7.8,27.04455988,40.63439186,0.6,19
16.03.2011,7.8,21.11120383,35.62885575,0.49,19
16.03.2011,7.8,19.31507871,37.11038538,0.42,19
16.03.2011,7.8,26.86468478,43.85763333,0.56,19
16.03.2011,7.8,23.84589773,43.72215366,0.46,19
16.03.2011,7.8,24.48487413,38.77773634,0.49,19
16.03.2011,7.8,33.0609577,46.23945105,0.67,19
16.03.2011,7.8,22.64759914,45.40296209,0.41,19
07.02.2011,7.6,10.6908668,40.04063296,0.17,1
07.02.2011,7.6,11.56610327,38.82861341,0.2,1
07.02.2011,7.6,11.45355417,35.19688745,0.21,1
07.02.2011,7.6,10.00678263,33.33526667,0.21,1
07.02.2011,7.6,10.6727048,31.006698,0.24,1
07.02.2011,7.6,11.75663505,33.08350911,0.24,1
07.02.2011,7.6,11.56375749,41.509663,0.17,1
07.02.2011,7.6,17.35217776,36.33653885,0.37,1
07.02.2011,7.6,14.63014512,36.39692853,0.27,1
08.02.2011,7.6,28.38857503,36.79469569,0.72,2
08.02.2011,7.6,23.84783775,39.26867667,0.52,2
08.02.2011,7.6,16.56846765,35.67810812,0.38,2
08.02.2011,7.6,14.37550191,37.86687412,0.26,2
08.02.2011,7.6,11.9413427,39.21760972,0.21,2
08.02.2011,7.6,16.2385032,38.01660091,0.35,2
08.02.2011,7.6,14.13456104,36.828628,0.28,2
08.02.2011,7.6,20.52699814,41.20833,0.42,2
08.02.2011,7.6,12.41002208,33.17622371,0.27,2
08.02.2011,7.6,13.91970485,38.60478519,0.27,2
09.02.2011,7.6,25.96015559,36.57583415,0.63,3
09.02.2011,7.6,17.52250743,30.97468714,0.46,3
09.02.2011,7.6,19.57508107,41.89215295,0.39,3
09.02.2011,7.6,20.57340569,38.54963739,0.45,3
09.02.2011,7.6,19.17686846,35.87801737,0.46,3
09.02.2011,7.6,18.37605257,40.13002929,0.4,3
09.02.2011,7.6,16.42956822,40.05304292,0.34,3
09.02.2011,7.6,19.66828725,33.38610882,0.5,3
09.02.2011,7.6,20.2837937,40.19332357,0.42,3
09.02.2011,7.6,18.58921922,33.50604833,0.46,3
10.02.2011,7.6,27.45346488,39.63374557,0.64,4
10.02.2011,7.6,23.40677006,38.27662236,0.51,4
10.02.2011,7.6,23.85223838,36.7270052,0.57,4
10.02.2011,7.6,18.62150608,33.47863789,0.45,4
10.02.2011,7.6,23.96982933,37.49184959,0.53,4
10.02.2011,7.6,21.996304,36.10661435,0.51,4
10.02.2011,7.6,22.91973608,38.54978781,0.53,4
10.02.2011,7.6,23.70508309,40.04377912,0.52,4
10.02.2011,7.6,20.51880302,34.73646137,0.48,4
10.02.2011,7.6,26.19169606,42.86351395,0.55,4
14.02.2011,7.6,17.76531189,39.22426515,0.37,5
14.02.2011,7.6,10.1618623,34.89299207,0.16,5
