ageclass,sex,long,lat,thg,delta15n,delta13c,hgdep,hgwet,prec,tempmax,tempmin,elev,dist,soc,sph10,sph60,
Yearling,Female,-135.0,60.7,0.48,6.495,-24.129,11.191,2.248,23.733,5.225,-5.257,640,884516.218,60.410,67,69,
Yearling,Male,-138.0,61.2,0.284,5.666,-24.027,7.791,5.026,31.894,2.257,-9.056,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.118,6.962,-23.619,7.791,5.026,31.894,2.257,-9.056,1890,838678.680,140.734,54,58,
Yearling,Male,-138.0,61.2,0.316,6.594,-25.125,7.791,5.026,31.894,2.257,-9.056,1890,838678.680,140.734,54,58,
Yearling,Female,-138.0,61.2,0.617,7.113,-23.635,7.791,5.026,31.894,2.257,-9.056,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.214,6.317,-22.890,7.791,5.026,31.894,2.257,-9.056,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.214,5.476,-24.510,7.791,5.026,31.894,2.257,-9.056,1890,838678.680,140.734,54,58,
Yearling,Female,-135.0,60.7,0.154,5.719,-24.022,11.191,2.248,23.733,5.225,-5.257,640,884516.218,60.410,67,69,
Yearling,Male,-135.8,60.1,0.138,6.026,-23.253,7.222,3.748,50.710,4.317,-6.215,1351,954447.979,81.392,52,54,
Yearling,Female,-138.0,61.2,0.644,5.931,-23.486,7.791,5.026,31.894,2.257,-9.056,1890,838678.680,140.734,54,58,
Yearling,Male,-138.0,61.2,0.907,6.256,-24.976,7.791,5.026,31.894,2.257,-9.056,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.086,6.093,-24.084,7.791,5.026,31.894,2.257,-9.056,1890,838678.680,140.734,54,58,
Adult,Female,-138.0,61.2,0.048,5.508,-24.642,7.791,5.026,31.894,2.257,-9.056,1890,838678.680,140.734,54,58,
Adult,Female,-138.0,61.2,0.059,5.806,-25.038,7.791,5.026,31.894,2.257,-9.056,1890,838678.680,140.734,54,58,
Adult,Female,-135.0,60.7,0.052,5.998,-25.687,11.191,2.248,23.733,5.225,-5.257,640,884516.218,60.410,67,69,
Yearling,Male,-135.0,60.7,0.145,6.462,-23.884,11.191,2.248,23.733,5.225,-5.257,640,884516.218,60.410,67,69,
Adult,Female,-138.0,61.2,0.042,5.308,-25.287,7.791,5.026,31.894,2.257,-9.056,1890,838678.680,140.734,54,58,
Adult,Female,-135.0,60.7,0.155,6.510,-22.978,11.191,2.248,23.733,5.225,-5.257,640,884516.218,60.410,67,69,
Adult,Female,-138.0,61.2,0.36,5.598,-24.715,7.791,5.026,31.894,2.257,-9.056,1890,838678.680,140.734,54,58,
Adult,Female,-135.8,60.1,0.169,6.034,-23.878,7.222,3.748,50.710,4.317,-6.215,1351,954447.979,81.392,52,54,
Yearling,Female,-138.0,61.2,0.221,6.442,-22.702,7.791,5.026,31.894,2.257,-9.056,1890,838678.680,140.734,54,58,
Adult,Male,-135.0,60.7,0.321,6.395,-23.070,11.191,2.248,23.733,5.225,-5.257,640,884516.218,60.410,67,69,
