ca,cr,cu,fe,mn,pb,zn,cd,mg,ni,soc,ph,n,k,p,landuse,group
0.763,78.74,24.804,3.612,576.5,27.81,78.05,0.316,1.469,37.52,0.741,6.71,876.4,2.359,446.16,Paddy,2
1.003,63.95,23.137,3.549,541.8,25.54,81.75,0.286,1.523,28.91,0.714,7.09,932.7,2.379,609.44,Paddy,2
0.992,77.72,23.137,3.917,772.8,26.78,86.1,0.296,1.706,33.86,0.914,7.35,1168.2,2.544,593.84,Paddy,2
0.578,55.28,15.686,2.825,434.7,24.72,51.99,0.194,0.702,19.21,0.668,5.4,779.1,1.895,515.84,Orchard,3
0.676,80.27,25,3.728,599.6,28.02,84.77,0.337,1.361,34.36,0.896,6.93,1106.4,2.266,710.32,Orchard,3
0.741,60.38,19.412,3.224,616.4,26.27,72.94,0.224,1.069,24.06,0.76,5.44,720,2.039,650,Dryland,1
0.164,66.2,15.882,2.373,206.9,23.18,46.71,0.133,0.41,14.16,0.786,4.82,911.8,1.215,503.36,Orchard,3
0.414,68.75,22.451,2.72,377,25.34,63.92,0.224,0.907,25.25,0.744,5.19,868.2,1.833,819.52,Orchard,3
0.436,69.46,20.392,3.003,383.3,25.65,65.33,0.235,0.767,20,0.827,5.03,826.4,1.504,431.6,Orchard,3
0.796,64.67,18.627,3.675,753.9,26.16,70.51,0.173,1.004,25.15,0.57,5.85,593.6,1.875,410.8,Orchard,3
0.839,72.42,24.02,3.602,600.6,25.65,76.67,0.255,1.361,30.69,0.765,5.8,814.5,2.194,561.6,Orchard,3
0.818,65.59,21.961,3.255,556.5,26.47,69.67,0.214,1.318,31.78,0.569,6.94,764.5,2.297,474.24,Paddy,2
0.469,61.2,16.176,2.709,441,24,52.48,0.112,0.691,18.02,0.813,5.24,792.7,1.267,756.08,Paddy,2
0.752,73.44,26.765,3.969,679.4,27.6,91.38,0.275,1.447,30.89,0.77,5.7,889.1,2.596,711.36,Orchard,3
0.305,57.63,16.176,2.709,295.1,26.06,49.75,0.153,0.605,18.12,1.085,5.59,1199.1,1.236,610.48,Paddy,2
0.654,56.71,17.647,3.077,640.5,25.54,58.72,0.204,0.886,22.48,0.73,5.95,681.8,1.906,669.76,Orchard,3
0.687,69.05,23.627,3.623,831.6,27.4,71.47,0.204,1.21,29.31,0.744,5.66,725.5,2.06,391.04,Orchard,3
0.839,56.2,20.686,2.951,443.1,23.69,64.84,0.265,1.069,24.06,1,6.52,1078.2,2.07,453.44,Paddy,2
0.883,68.65,26.337,3.837,816.2,27.3,76.38,0.218,1.51,34.85,0.671,6.94,695.1,2.436,539.54,Paddy,2
