spp,svl,hw,hl,td,ew,tl,sl,fl,end,nsd,iod,ind,dsa,,,,,,,,,,
rk,46.86,13.96,14.18,4.57,3.81,21.97,26.26,39.72,3.81,2.9,3.32,2.58,1.029328442,,,,,,,,,,
rk,55.43,18.11,17.23,4.94,3.62,24.3,31.73,48.51,5.35,3.52,4.34,3.33,1.106692023,,,,,,,,,,
rk,43.05,14.92,14.51,2.44,2.5,20.73,24.9,38.44,3.15,2.54,3.01,2.86,1.079981802,,,,,,,,,,
rk,67.99,24.37,21.61,6.78,4.8,33.34,38.8,58.59,4.29,3.96,4.85,5.26,1.198102844,,,,,,,,,,
rk,57.16,16.98,17.17,4.16,4.19,28.96,30.1,48.59,3.63,3.28,3.98,3.84,1.034443245,,,,,,,,,,
rk,68.39,24.5,23.47,7.15,6.34,33.31,39.34,59.05,4.11,5.16,5.61,5.48,1.098254305,,,,,,,,,,
rk,63.84,20.51,21.11,5.77,5.05,31.03,34.5,52.32,3.91,4.52,3.87,4.35,1.01453059,,,,,,,,,,
rk,63.99,19.82,20.07,5.37,4.93,28.61,33.51,53.94,4.13,4.35,3.79,4.39,1.032843751,,,,,,,,,,
rk,65.37,22.74,22.18,5.78,5.29,29.98,37.78,58.91,4.39,3.93,4.39,4.64,1.076476172,,,,,,,,,,
rk,60.13,19.15,18.62,5.7,4.82,33.74,34.09,51.91,4.13,4.31,4.12,4.91,1.080223899,,,,,,,,,,
rk,60.43,21.41,19.16,5.14,4.48,33.24,34.92,51.78,3.94,3.5,3.38,4.26,1.185673797,,,,,,,,,,
rk,51.01,15.81,15.54,4.79,3.8,23,29.43,43.11,3.78,3.06,3.04,3.45,1.067318691,,,,,,,,,,
rk,51.07,16.99,17.29,3.99,3.69,25.73,31.43,46.7,3.96,3.49,4.04,3.62,1.027219537,,,,,,,,,,
rk,51.71,16.82,17.93,4.69,3.09,24.05,31.34,49.65,3.62,2.56,3.89,3.26,0.976421205,,,,,,,,,,
rk,37.44,12.47,12.8,3.82,3.24,22.26,23.14,34.57,2.97,2.57,3.12,2.35,1.017553678,,,,,,,,,,
rk,43.8,14.92,14.7,4.25,3.31,23.29,26.68,41.54,3.31,2.78,3.45,3.29,1.064522323,,,,,,,,,,
rk,63.68,22.16,21.49,4.26,3.62,28.75,36.76,55.88,4.21,3.45,4.22,3.9,1.083389013,,,,,,,,,,
rk,54.16,16.72,17.23,3.79,3.52,24.51,30.47,47.36,3.53,2.85,3.93,3.36,1.013184292,,,,,,,,,,
rk,42.21,12.86,13.58,4.12,3.43,21.21,24.8,36.13,3.75,3.29,2.67,2.55,0.986498746,,,,,,,,,,
rk,35.6,11.7,12.89,3.69,3.24,18.82,21.58,32.78,2.39,2.66,2.82,2.44,0.942140409,,,,,,,,,,
rk,50.99,16.1,16.28,4.36,4.23,26.04,29.59,45.12,3.5,3.94,3.38,3.67,1.034453946,,,,,,,,,,
rk,61.66,19.4,19.9,5.57,4.17,31.38,36.85,52.28,4.96,4.47,4.12,3.67,1.018304462,,,,,,,,,,
rk,59.02,19.5,18.82,4.46,3.84,27.46,32.95,51.32,4.84,3.66,3.98,3.97,1.089176358,,,,,,,,,,
rk,52.88,17.47,19.77,4.24,3.89,26.5,31.38,48.59,4.13,3.89,4.05,3.6,0.915277477,,,,,,,,,,
rk,72.47,22.44,23.41,4.94,4.03,35.56,40.45,61.97,4.35,4.85,5.18,4.65,0.999673708,,,,,,,,,,
rk,60.4,20.02,20.43,4.81,4.44,27.47,35.02,50.83,4.13,4.25,4.72,3.69,1.024100896,,,,,,,,,,
rk,52.94,17.68,18.28,3.89,4.02,24.47,29.59,47.35,4.36,3.44,4.95,3.71,1.009499977,,,,,,,,,,
rk,32.75,11.27,11.53,2.95,2.71,15.61,18.98,28.08,2.68,2.08,2.89,2.74,1.021255612,,,,,,,,,,
rk,47.92,14.38,14.44,3.53,3.78,21.47,25.7,17.79,4.04,3.53,3.76,3.36,1.04240294,,,,,,,,,,
rk,62.05,18.98,19.66,5.49,5.04,32.27,35.25,57.12,5.61,5.28,5.02,6.05,1.007483803,,,,,,,,,,
rk,40.25,13.25,13.42,4.18,4.18,18.67,21.77,37.34,2.71,2.87,2.88,2.42,1.032600821,,,,,,,,,,
rk,20.34,12.09,13.98,3.04,2.82,20,21.93,20.99,3.71,2.98,3.4,3.47,0.894313168,,,,,,,,,,
rk,60.27,20.19,21.84,5.04,3.97,32.07,35.66,55.1,3.56,4.11,4.61,4.36,0.961005998,,,,,,,,,,
rk,62.4,20.43,19.34,3.95,4.48,29.05,33.77,51.31,3.85,4.3,4.47,4.38,1.112911392,,,,,,,,,,
rk,50.78,16.65,15.88,3.9,3.59,19.1,29.06,48.34,4.13,3.68,3.93,3.99,1.103654973,,,,,,,,,,
rk,49.53,15.74,17.71,4.01,7.14,26.69,27.87,42.28,3.39,3.41,3.11,3.18,0.920967913,,,,,,,,,,
rk,35.83,11.8,13.33,3.06,5.69,16.9,21.21,33.18,2.96,2.57,1.88,2.83,0.917015888,,,,,,,,,,
rk,60.77,19.52,21.6,4.67,6.6,32.54,33.08,50.83,3.86,3.94,3.45,3.87,0.937680202,,,,,,,,,,
rk,46.62,14.38,16.24,4.11,5.07,23.03,25.52,39.54,3.51,2.95,3.18,2.9,0.917290985,,,,,,,,,,
rk,37.86,13.39,15.79,3.48,4.77,22.28,24.62,36.8,3.53,2.59,2.81,3.06,0.875720465,,,,,,,,,,
rk,32.52,9.95,13.37,2.85,4.56,17.38,18.65,26.96,2.74,2.04,1.99,2.37,0.762544625,,,,,,,,,,
rk,50.03,15.73,18.87,4.18,6.29,29.09,28.65,43.52,3.81,3.19,3.55,3.53,0.85984235,,,,,,,,,,
rk,69.61,25.12,20.59,4.5,6.37,35.7,40.38,56.9,4.6,4.52,6.04,5.53,1.31213344,,,,,,,,,,
