rh,colour,timepup,subst,sex,weight,colnum
low,green,22,off-leaf,male,0.1994,1
low,green,25,leaf,female,0.2304,1
low,green,25,leaf,female,0.2622,1
low,green,26,leaf,female,0.265,1
low,green,26,leaf,female,0.2158,1
low,green,22,leaf,female,0.2088,1
low,green,21,leaf,female,0.2286,1
low,green,23,off-leaf,female,0.237,1
low,green,27,off-leaf,male,0.158,1
low,green,29,leaf,male,0.1806,1
low,brown,29,off-leaf,female,0.2011,0
low,green,34,off-leaf,female,0.1564,1
low,green,34,leaf,male,0.2178,1
low,green,34,leaf,female,0.175,1
low,green,26,off-leaf,female,0.1439,1
low,green,26,leaf,male,0.1977,1
low,brown,22,off-leaf,female,0.1819,0
low,brown,20,off-leaf,female,0.2354,0
low,green,19,off-leaf,male,0.2063,1
low,green,19,off-leaf,female,0.1912,1
low,green,19,leaf,male,0.1978,1
low,green,19,leaf,male,0.2009,1
low,green,19,leaf,male,0.2029,1
low,brown,21,off-leaf,female,0.2947,0
low,green,32,leaf,female,0.161,1
low,brown,20,off-leaf,female,0.2399,0
low,green,22,leaf,female,0.1899,1
low,green,25,leaf,female,0.2203,1
low,green,27,off-leaf,female,0.1396,1
low,green,24,off-leaf,female,0.2128,1
low,green,26,leaf,male,0.2135,1
low,green,26,leaf,male,0.1975,1
low,brown,26,off-leaf,male,0.1918,0
low,green,26,off-leaf,male,0.1661,1
low,green,26,leaf,male,0.2172,1
low,brown,23,off-leaf,female,0.1923,0
low,green,23,off-leaf,female,0.1997,1
low,green,23,off-leaf,female,0.2451,1
low,green,23,leaf,female,0.2067,1
low,green,23,leaf,male,0.1844,1
low,green,29,leaf,female,0.1933,1
low,green,28,off-leaf,female,0.2507,1
low,green,28,leaf,female,0.2344,1
high,green,34,leaf,female,0.1578,1
high,green,33,leaf,male,0.1932,1
high,green,26,off-leaf,female,0.2008,1
high,green,26,leaf,female,0.2202,1
high,green,23,off-leaf,female,0.206,1
high,green,26,leaf,female,0.2517,1
high,green,26,leaf,female,0.245,1
high,green,26,leaf,male,0.2268,1
high,green,26,leaf,female,0.2424,1
high,green,26,off-leaf,male,0.2277,1
high,green,26,off-leaf,female,0.2521,1
high,green,27,leaf,female,0.2325,1
high,green,27,leaf,male,0.2026,1
high,green,27,leaf,female,0.2368,1
high,green,27,leaf,female,0.2516,1
high,green,24,leaf,male,0.2063,1
high,green,24,off-leaf,male,0.1977,1
high,green,27,off-leaf,male,0.2192,1
high,green,24,off-leaf,male,0.1802,1
high,green,27,leaf,male,0.2216,1
high,green,29,leaf,female,0.2169,1
high,green,29,leaf,female,0.2317,1
high,green,29,off-leaf,female,0.2216,1
high,green,25,leaf,male,0.1893,1
high,green,25,leaf,female,0.2082,1
high,green,25,leaf,female,0.1988,1
high,green,25,off-leaf,male,0.2041,1
high,green,29,off-leaf,female,0.2418,1
high,green,29,leaf,female,0.2364,1
high,green,29,leaf,female,0.2695,1
high,green,26,off-leaf,male,0.1735,1
high,green,26,off-leaf,male,0.1957,1
high,green,29,leaf,female,0.2476,1
high,green,27,leaf,female,0.1538,1
high,green,27,off-leaf,male,0.1684,1
high,green,27,off-leaf,male,0.1873,1
high,green,27,off-leaf,female,0.2192,1
high,green,27,off-leaf,male,0.1941,1
high,green,27,leaf,female,0.2137,1
high,green,28,leaf,female,0.2112,1
high,green,29,leaf,female,0.172,1
high,green,37,leaf,female,0.1919,1
high,green,37,leaf,female,0.1764,1
high,green,36,leaf,female,0.2052,1
high,green,36,leaf,male,0.1567,1
high,green,23,leaf,female,0.1821,1
high,green,25,leaf,female,0.218,1
high,green,29,leaf,female,0.1644,1
high,green,26,off-leaf,male,0.1346,1
high,green,28,leaf,female,0.2405,1
high,green,29,off-leaf,female,0.1524,1
high,green,29,leaf,male,0.1356,1
high,green,29,off-leaf,female,0.1572,1
high,green,28,off-leaf,female,0.1644,1
high,green,28,leaf,male,0.1847,1
high,green,28,leaf,female,0.173,1
high,green,26,off-leaf,female,0.1635,1
high,green,23,leaf,male,0.2004,1
high,green,22,leaf,female,0.2211,1
high,green,31,off-leaf,male,0.1859,1
high,green,31,leaf,male,0.1992,1
high,green,30,off-leaf,female,0.1545,1
high,green,30,off-leaf,male,0.1544,1
high,green,30,off-leaf,female,0.1621,1
high,green,24,off-leaf,female,0.2335,1
high,green,36,leaf,male,0.1326,1
high,green,36,leaf,female,0.1603,1
high,green,36,leaf,female,0.1981,1
high,green,36,leaf,female,0.1728,1
high,green,27,off-leaf,female,0.1884,1
high,green,27,off-leaf,female,0.1976,1
high,green,27,leaf,male,0.2007,1
high,green,27,off-leaf,female,0.178,1
high,green,27,leaf,female,0.2164,1
high,green,34,leaf,female,0.1584,1
high,green,34,leaf,male,0.1308,1
high,green,34,leaf,female,0.1243,1
high,green,34,leaf,female,0.1158,1
high,green,34,leaf,male,0.1812,1
