Plant ID,Shelter,Plot,Pot,Species,Amount,Frequency,1st leaf measurement,1st plant height measurement,2nd leaf measurement,2nd plant height measurement,Above-ground biomass,Below-ground biomass,Above- to below-ground ratio,Sp_name,Type
403,5,26,448,Butterflyweed,70,15,14,6,66,27,1.3196,3.3592,20.46074568,Asclepias,eudicot
478,5,27,480,Butterflyweed,70,30,26,6,76,25,1.7228,3.8486,14.51126074,Asclepias,eudicot
445,5,28,492,Butterflyweed,90,3,26,9,46,29,1.3495,7.6938,21.48944053,Asclepias,eudicot
423,5,29,504,Butterflyweed,90,15,26,10,18,33,2.1173,5.9823,15.58588769,Asclepias,eudicot
412,5,30,517,Butterflyweed,90,30,32,12,157,29,2.4909,4.6372,11.64237826,Asclepias,eudicot
515,6,31,537,Butterflyweed,70,3,26,8,52,39,1.3309,2.5439,29.30347885,Asclepias,eudicot
571,6,32,568,Butterflyweed,70,15,20,10,NA,NA,NA,NA,NA,Asclepias,eudicot
572,6,33,583,Butterflyweed,70,30,18,12,34,21,0.7686,1.5407,27.32240437,Asclepias,eudicot
513,6,34,590,Butterflyweed,90,3,20,12.5,64,37,1.46,2.9271,25.34246575,Asclepias,eudicot
548,6,35,611,Butterflyweed,90,15,16,11,53,29,1.3248,2.8924,21.89009662,Asclepias,eudicot
563,6,36,632,Butterflyweed,90,30,22,11,84,43.5,2.258,4.0655,19.26483614,Asclepias,eudicot
669,7,37,651,Butterflyweed,70,3,10,9,118,33,1.486,2.9318,22.20726783,Asclepias,eudicot
677,7,38,669,Butterflyweed,70,15,28,13,172,10,1.311,2.8803,7.627765065,Asclepias,eudicot
638,7,39,681,Butterflyweed,70,30,10,10,69,14,4.9671,3.0664,NA,Asclepias,eudicot
632,7,40,703,Butterflyweed,90,3,18,13,101,17.5,0.7204,2.051,24.29205997,Asclepias,eudicot
601,7,41,712,Butterflyweed,90,15,12,9,21,12.5,0.2863,1.0826,43.66049598,Asclepias,eudicot
614,7,42,736,Butterflyweed,90,30,24,12,119,23,1.4249,3.9436,16.14148361,Asclepias,eudicot
795,8,43,763,Butterflyweed,70,3,20,12,52,79,1.1746,3.541,67.25693853,Asclepias,eudicot
792,8,44,782,Butterflyweed,70,15,26,8,48,23,1.6745,3.8203,13.73544342,Asclepias,eudicot
710,8,45,787,Butterflyweed,70,30,17,11,55,30,1.4391,2.5191,20.84636231,Asclepias,eudicot
734,8,46,807,Butterflyweed,90,3,24,7,46,23,1.6321,7.0648,14.09227376,Asclepias,eudicot
773,8,47,834,Butterflyweed,90,15,12,9,45,28,1.3998,3.1172,20.00285755,Asclepias,eudicot
738,8,48,844,Butterflyweed,90,30,30,11,51,25,1.2747,3.3951,19.61245783,Asclepias,eudicot
896,9,49,872,Butterflyweed,70,3,26,11,55,27,1.5361,3.8557,17.57698067,Asclepias,eudicot
840,9,50,881,Butterflyweed,70,15,30,8,49,16.5,1.2785,4.1991,12.90574892,Asclepias,eudicot
899,9,51,909,Butterflyweed,70,30,20,8,66,20,1.638,4.1148,12.21001221,Asclepias,eudicot
866,9,52,922,Butterflyweed,90,3,14,10,53,35.5,1.8403,4.7821,19.2903331,Asclepias,eudicot
897,9,53,945,Butterflyweed,90,15,18,9,37,22.5,1.2014,1.6848,18.72815049,Asclepias,eudicot
881,9,54,961,Butterflyweed,90,30,20,13,85,25.5,2.2368,6.3253,11.40021459,Asclepias,eudicot
